"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","Uczelnia"
"1",1,398222606,"2024-01-15 14:19:21","2024-01-15 14:27:23","00:08:02","00:08:02","Filozofia","","Stacjonarne","Pierwszy","Drugi","","","To jest uczelnia pierwszego wyboru","","Tak","umcs","Nie","7. Wysoka satysfakcja","","6","7","6","7","7","7",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"","uczciwość","wysoki poziom nauki","wiara","wysoki poziom","dobra kadra","atmosfera","5","6","6","6","5","7","7","7","5","7","6","7","6","4","5","5","5","6","7","2","7","5","5","5","4","4","4","4","6","6","Mężczyzna","Lublin","Miasto 100 000-499 999 mieszkańców","lubelskie","Nie pracuję",1,0,0,0,0,0,0,"",0,"KUL jest cool","PC",NA,NA,"","00:00:08","00:00:13","00:00:09","00:00:04","","","00:00:05","","00:00:07","00:00:09","00:00:19","","00:00:45","00:00:43","00:00:23","00:00:32","00:00:32","00:00:17","00:00:50","00:00:39","00:00:44","00:00:23","00:00:37","00:00:07","00:00:15","KUL"
"2",2,398230046,"2024-01-15 15:20:12","2024-01-15 15:28:51","00:08:39","00:08:39","Biotechnologia","","Stacjonarne","Pierwszy","Trzeci","","","To jest uczelnia pierwszego wyboru","","Nie","","Tak","7. Wysoka satysfakcja","","6","5","3","7","5","5",1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,"","Świetne zaangażowanie kół studenckich","Małe grupy osób na zajęciach - więcej możliwości i indywidualne podejście","Dobre wyposażenie pracowni","Małe grupy na zajęciach - indywidualne podejście","Nowoczesny budynek i dobre wyposażenie","Świetni prowadzący zajęcia","5","7","7","5","4","7","7","Trudno powiedzieć","Trudno powiedzieć","7","7","4","4","5","6","5","7","7","5","7","7","7","7","Trudno powiedzieć","Trudno powiedzieć","7","5","7","7","Trudno powiedzieć","Kobieta","Gmina Cyców","Wieś","lubelskie","Nie pracuję",0,0,1,0,1,0,0,"",0,"","Mobile",NA,NA,"http://m.facebook.com/","00:00:11","00:00:09","00:00:05","00:00:04","","","00:00:06","","00:00:03","","00:00:10","","00:00:39","00:00:26","00:00:20","00:01:30","00:01:10","00:00:07","00:00:53","00:00:54","00:00:35","00:00:22","00:00:28","00:00:15","00:00:12","KUL"
"3",3,398235212,"2024-01-15 15:27:50","2024-01-15 16:18:10","00:50:20","00:50:20","Biotechnologia","","Stacjonarne","Pierwszy","Trzeci","","","To jest uczelnia pierwszego wyboru","","Nie","","Tak","7. Wysoka satysfakcja","","7","5","3","Trudno powiedzieć","5","2",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"Dziedzictwo, tradycja, otwartość","jedna z najstarszych uczelni - tradycja","katolicki charakter","nie wiem","było wolne miejsce na mój kierunek","","","4","6","4","5","5","Trudno powiedzieć","7","Trudno powiedzieć","4","5","6","4","Trudno powiedzieć","4","4","2","6","3","Trudno powiedzieć","Trudno powiedzieć","2","7","6","6","4","4","4","Trudno powiedzieć","4","Trudno powiedzieć","Kobieta","Białobrzegi","Wieś","lubelskie","Nie pracuję",1,0,0,0,0,0,0,"",0,"","PC",NA,NA,"https://l.facebook.com/","00:02:43","00:00:13","00:00:42","00:00:08","","","00:00:23","","00:00:12","","00:03:38","","00:01:41","00:32:36","00:01:15","00:01:18","00:00:48","00:00:22","00:01:04","00:01:01","00:00:55","00:00:33","00:00:40","00:00:15","00:00:05","KUL"
"4",4,398260799,"2024-01-15 21:46:55","2024-01-15 21:53:14","00:06:19","00:06:19","Biotechnologia","","Stacjonarne","Pierwszy","Drugi","","","To jest uczelnia pierwszego wyboru","","Nie","","Nie","6","","7","6","6","Nie jest to dla mnie istotne","7","7",1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,"","możliwość rozwoju","możliwość wyjazdu na wymiany","kameralne grupy ćwiczeniowe","możliwość wyjazdu na wymiany","","","6","4","2","7","6","7","6","7","6","7","7","7","7","7","7","3","7","7","7","6","7","7","3","3","6","6","5","7","7","3","Kobieta","Lublin","Miasto 100 000-499 999 mieszkańców","lubelskie","Pracuję na etat (pełny lub część)",0,0,0,0,0,0,1,"agnostyk",0,"","PC",NA,NA,"https://l.messenger.com/","00:00:05","00:00:06","00:00:06","00:00:03","","","00:00:06","","00:00:04","","00:00:09","","00:00:19","00:00:35","00:00:11","00:01:00","00:00:31","00:00:11","00:00:37","00:00:22","00:00:23","00:00:19","00:00:35","00:00:32","00:00:05","KUL"
"5",5,398447159,"2024-01-16 14:44:28","2024-01-16 15:02:29","00:18:01","00:18:01","Zarządzanie","","Stacjonarne","Pierwszy","Trzeci","","","To jest uczelnia pierwszego wyboru","","Nie","","Nie","5","Plan zajęć powinien być lepiej ułożony, więcej zajęć prostycznych niż teorii","5","5","3","5","6","4",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"","Katolicka","Specyficzna",".","Katolicka","Wysoka na liście dobrych uczelni na kierunku zarządzania","Blisko miasta rodzinnego","4","6","4","5","4","4","5","5","Trudno powiedzieć","4","6","5","5","4","3","3","4","4","3","4","3","4","3","4","1","1","4","4","4","4","Kobieta","Okolice Radomia","Wieś","mazowieckie","Wykonuję umowy zlecenia, umowy o dzieło",0,1,1,0,1,0,0,"",0,"","Mobile",NA,NA,"","00:00:11","00:00:11","00:00:09","00:00:04","","","00:00:15","","00:00:04","","00:00:20","00:01:50","00:00:50","00:00:46","00:00:41","00:01:00","00:00:46","00:00:19","00:01:14","00:00:58","00:06:52","00:00:26","00:00:42","00:00:18","00:00:05","KUL"
"6",6,398448848,"2024-01-16 14:58:22","2024-01-16 15:19:16","00:20:54","00:20:54","Ekonomia","","Stacjonarne","Drugi","","Drugi","","Chciałam/chciałem studiować na innej uczelni","Uniwersytet Marii Curie Skłodowskiej w Lublinie","Nie","","Tak","6","","5","5","4","Trudno powiedzieć","4","5",1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,"","Wolność poglądów","O zdecydowanej większości wykładowców mogę się wypowiedzieć pozytywnie","Duża ilość inicjatyw organizowanych przez uczelnię","Wolność poglądów","""Ludzcy"" wykładowcy","Organizowanie stażów studenckich","5","4","4","6","5","5","4","5","5","7","7","7","7","5","Trudno powiedzieć","4","6","5","5","Trudno powiedzieć","Trudno powiedzieć","5","4","6","7","6","6","5","6","5","Kobieta","Lublin","Miasto 100 000-499 999 mieszkańców","lubelskie","Nie pracuję",1,0,0,0,0,0,0,"",0,"","PC",NA,NA,"","00:00:05","00:00:06","00:00:06","","00:00:05","","00:00:13","00:00:24","00:00:09","","00:03:04","","00:00:57","00:01:02","00:00:24","00:07:54","00:01:52","00:00:04","00:00:57","00:00:59","00:00:51","00:00:23","00:01:04","00:00:11","00:00:04","KUL"
"7",7,398477228,"2024-01-16 21:55:02","2024-01-16 22:02:26","00:07:24","00:07:24","Prawo","","Stacjonarne","Jednolite studia magisterskie","","","Piąty","To jest uczelnia pierwszego wyboru","","Nie","","Nie","7. Wysoka satysfakcja","","7","7","6","7","7","7",0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,"","Klasyczny Uniwersytet","Nauczanie prawdy a nie modnych poprawnych politycznie trendów","Nauka krytycznego myslenia","Klasyczny uniwersytet, a nie wyższa szkoła zawodowa","Sprawdzony system wartości","Jedyny znany polski uniwersytet na całym świecie","6","7","7","7","7","7","7","7","7","7","7","7","7","7","6","5","1","6","7","1","7","7","2","7","7","5","7","7","7","7","Mężczyzna","Warszawa","Miasto 500 000 i więcej mieszkańców","mazowieckie","Pracuję na etat (pełny lub część)",1,0,0,0,0,0,0,"",0,"","PC",NA,NA,"","00:01:42","00:00:08","00:00:07","","","00:00:04","00:00:04","","00:00:04","","00:00:09","","00:00:23","00:00:19","00:00:21","00:00:42","00:00:46","00:00:09","00:00:31","00:00:29","00:00:33","00:00:14","00:00:27","00:00:09","00:00:03","KUL"
"8",8,399153554,"2024-01-19 18:19:20","2024-01-19 19:07:30","00:48:10","00:48:10","Położnictwo","","Stacjonarne","Jednolite studia magisterskie","","","Drugi","Chciałam/chciałem studiować na innej uczelni","Uniwersytet Medyczny w Lublinie","Nie","","Tak","2","- Organizacja. Szczególnie dziekanatu, jego współpracy z studentami i innymi pracownikami uczelni. 
- Ocena studentów przez prowadzących.","5","3","1","Nie jest to dla mnie istotne","2","2",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"","Katolicki","Kamerlany","Wyobcowany","Niskie progi punktowe w rekrutacji","Kameralna uczelnia","","1","4","3","5","3","7","6","1","3","2","6","5","5","3","1","3","7","1","2","4","6","6","7","7","7","7","2","4","5","5","Kobieta","Tarnawatka","Wieś","lubelskie","Nie pracuję",0,0,0,1,0,0,0,"",0,"","PC",NA,NA,"","00:36:58","00:00:40","00:00:12","","","00:00:06","00:00:05","00:00:23","00:00:04","","00:00:17","00:01:44","00:00:42","00:02:07","00:00:36","00:00:53","00:00:44","00:00:06","00:00:36","00:00:37","00:00:26","00:00:17","00:00:28","00:00:07","00:00:02","KUL"
"9",9,399321719,"2024-01-20 21:31:02","2024-01-20 21:47:16","00:16:14","00:16:14","Praca socjalna","","Stacjonarne","Pierwszy","Drugi","","","To jest uczelnia pierwszego wyboru","","Tak","Instytut rozwoju człowieka""Ukraina""","Tak","6","","5","5","6","6","6","Nie jest to dla mnie istotne",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"","Katolicka","Międzynarodowa","Tolerantna","Katolicka","Darmowe kształcenie","Łatwe wstępowanie","5","4","6","6","3","7","7","Trudno powiedzieć","Trudno powiedzieć","6","5","6","6","7","6","5","5","6","6","Trudno powiedzieć","3","6","6","6","7","6","6","5","6","7","Kobieta","Suwałki","Miasto 20 000-99 999 mieszkańców","podlaskie","Nie pracuję",1,0,0,0,0,0,0,"",0,"Jest jedną z najlepszych w Polsce","Mobile",NA,NA,"","00:00:05","00:00:18","00:00:10","00:00:04","","","00:00:11","","00:00:05","00:01:13","00:00:42","","00:01:52","00:00:41","00:00:48","00:01:08","00:01:54","00:00:27","00:01:42","00:01:06","00:01:11","00:00:36","00:00:56","00:00:15","00:00:50","KUL"
"10",10,399527606,"2024-01-22 11:34:34","2024-01-22 11:40:49","00:06:15","00:06:15","Ekonomia","","Stacjonarne","Drugi","","Drugi","","To jest uczelnia pierwszego wyboru","","Nie","","Tak","7. Wysoka satysfakcja","","7","7","7","7","6","6",1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,"","Dobrze przygotowana dla studenta","Wyjątkowa","Inna niż wszystkie","Miejsce","Osoby tam studiujące","Zajęcia","7","7","7","7","7","7","7","7","7","","","","","","","","","7","7","6","7","7","7","7","7","7","7","7","7","7","Kobieta","Biłgoraj","Miasto 20 000-99 999 mieszkańców","lubelskie","Wykonuję umowy zlecenia, umowy o dzieło",1,0,1,0,0,0,0,"",0,"Nie mam","PC",NA,NA,"","00:00:09","00:00:05","00:00:06","","00:00:04","","00:00:10","","00:00:04","","00:00:14","","00:00:34","00:00:34","00:00:16","00:00:47","00:00:36","00:00:02","00:00:39","","00:00:25","00:00:11","00:00:50","00:00:16","00:00:13","KUL"
